Borrow_ID,User_ID,Book_ID,Borrow_Date,Borrow_Time,Return_Date,isComplete
,,,,,,
1,1004,1,"2024-01-15",10:30:00,2024-05-15,1
2,1003,11,"2024-02-17",11:45:00,2024-05-15,1
3,1004,21,"2024-03-20",09:15:00,2024-05-15,1
4,1005,31,"2024-04-25",14:00:00,2024-05-15,1
5,1006,41,"2024-05-30",13:30:00,2024-05-15,1
6,1007,51,"2024-06-12",12:00:00,"2024-05-15",1
7,1008,61,"2024-07-19",16:15:00,"2024-05-15",1
8,1019,71,"2024-08-22",08:45:00,"2024-05-15",1
9,1010,81,"2024-09-15",10:30:00,"2024-05-15",1
10,1011,91,2024-10-17,11:45:00,"2024-05-15",1
11,1012,101,"2024-11-20",09:15:00,"2024-05-15",1
12,1013,111,"2024-12-25",14:00:00,"2024-05-15",1
13,1014,121,"2024-01-30",13:30:00,"2024-05-15",1
14,1015,131,"2024-02-12",12:00:00,"2024-05-15",1
15,1016,141,"2024-03-19",16:15:00,"2024-05-15",1
16,1017,151,"2024-04-22",08:45:00,"2024-05-15",1
17,1008,161,"2024-05-15",10:30:00,"2024-05-15",1
18,1019,171,"2024-06-17",11:45:00,"2024-05-15",1
19,1020,181,"2024-07-20",09:15:00,"2024-05-15",1
20,1021,191,"2024-08-25",14:00:00,"2024-05-15",1
21,1022,201,"2024-09-30",13:30:00,"2024-05-15",1
22,1033,211,"2024-10-12",12:00:00,"2024-05-15",1
23,1024,221,"2024-11-19",16:15:00,"2024-05-15",1
24,1025,231,"2024-12-22",08:45:00,"2024-05-15",1
25,1026,241,"2024-01-15",10:30:00,"2024-05-15",1
26,1017,251,"2024-02-17",11:45:00,"2024-05-15",1
27,1028,261,"2024-03-20",09:15:00,"2024-05-15",1
28,1029,271,"2024-04-25",14:00:00,"2024-05-15",1
29,1030,281,"2024-05-30",13:30:00,"2024-05-15",1
30,1031,291,"2024-06-12",12:00:00,"2024-05-15",1
31,1003,301,"2024-07-19",16:15:00,"2024-05-15",1
32,1033,311,"2024-08-22",08:45:00,"2024-05-15",1
33,1024,321,"2024-09-15",10:30:00,"2024-05-15",1
34,1035,331,"2024-10-17",11:45:00,"2024-05-15",1
35,1026,341,"2024-11-20",09:15:00,"2024-05-15",1
36,1037,351,"2024-12-25",14:00:00,"2024-05-15",1
37,1038,361,"2024-01-30",13:30:00,"2024-05-15",1