Review_ID,User_ID,Book_ID,Rating,Review,Review_Date
,,,,,
1,1005,100001,4,"Great book, loved the characters!",6/15/2024
2,1012,100002,5,"Amazing storyline, couldn't put it down.",6/15/2024
3,1017,100003,3,"Interesting read, but the ending was disappointing.",6/15/2024
4,1020,100004,4,Well-written and engaging.,6/16/2024
5,1028,100005,2,"Not my favorite book, quite boring actually.",6/16/2024
6,1030,100006,5,"Absolutely loved it, highly recommend!",6/17/2024
7,1035,100007,3,"Decent book, but felt too predictable.",6/17/2024
8,1038,100008,4,"Enjoyable read, especially the twist midway.",6/18/2024
9,1042,100009,5,One of the best books I've read recently!,6/18/2024
10,1044,100010,2,"Struggled to finish it, not worth the hype.",6/19/2024
11,1046,100011,4,"Compelling story, kept me engaged throughout.",6/20/2024
12,1048,100012,3,"Liked the plot, but the writing style wasn't for me.",6/20/2024
13,1050,100013,5,"Couldn't stop reading, absolutely fantastic!",6/21/2024
14,1052,100014,2,"Disappointed with the characters, lacked depth.",6/21/2024
15,1054,100015,4,Enjoyed the setting and atmosphere.,6/22/2024
16,1056,100016,3,"Average book, had its moments.",6/22/2024
17,1058,100017,5,Masterpiece! Captivating from start to finish.,6/23/2024
18,1060,100018,4,"Well-developed characters, engaging plot.",6/23/2024
19,1062,100019,3,"Interesting concept, execution fell short.",6/24/2024
20,1064,100020,2,"Couldn't connect with the story, felt disjointed.",6/24/2024
21,1066,100021,4,"Kept me guessing, loved the twists.",6/25/2024
22,1068,100022,5,"Couldn't put it down, stayed up all night reading!",6/25/2024
23,1070,100023,3,Slow start but picked up towards the end.,6/26/2024
24,1072,100024,4,"Engaging narrative, well worth the read.",6/26/2024
25,1074,100025,5,"One of those books you can't forget, loved it!",6/27/2024
26,1076,100026,2,"Expected more, didn't live up to the hype.",6/27/2024
27,1078,100027,4,"Solid story, enjoyed the character development.",6/28/2024
28,1080,100028,3,"Interesting premise, execution could be better.",6/28/2024
29,1082,100029,5,"Absolutely captivating, would read again.",6/29/2024
30,1084,100030,4,"Well-written, kept me engaged throughout.",6/29/2024
31,1086,100031,3,"Mediocre, didn't leave a lasting impression.",6/30/2024
32,1088,100032,5,"Couldn't recommend it enough, a must-read!",6/30/2024
33,1090,100033,4,"Enjoyed the plot twists, kept me guessing.",7/1/2024
34,1092,100034,3,"Okay read, expected more from the storyline.",7/1/2024
35,1094,100035,5,"Brilliantly written, emotional rollercoaster!",7/2/2024
36,1096,100036,4,"Kept me hooked, loved the unexpected ending.",7/2/2024
37,1098,100037,3,"Good read, but pacing was a bit slow.",7/3/2024
38,1100,100038,5,Outstanding! Couldn't stop thinking about it.,7/3/2024
39,1102,100039,4,"Interesting characters, well-developed.",7/4/2024
40,1104,100040,3,"Average storyline, didn't stand out.",7/4/2024
41,1106,100041,5,"Incredible book, a new favorite!",7/5/2024
42,1108,100042,4,"Enjoyed the plot twists, kept me guessing.",7/5/2024
43,1110,100043,3,"Liked the concept, execution was lacking.",7/6/2024
44,1112,100044,5,"Couldn't put it down, highly recommend!",7/6/2024
45,1114,100045,4,"Solid read, engaging storyline.",7/7/2024
46,1116,100046,3,Expected more depth from the characters.,7/7/2024
47,1118,100047,5,"Amazing book, loved every page of it!",7/8/2024
48,1120,100048,4,"Well-written, kept me interested throughout.",7/8/2024
49,1122,100049,3,Good plot but didn't connect with the characters.,7/9/2024
50,1124,100050,5,"Couldn't stop reading, so gripping!",7/9/2024
51,1126,100051,4,"Enjoyed the twists and turns, well-paced.",7/10/2024
52,1128,100052,3,"Interesting read, but lacked depth.",7/10/2024
53,1130,100053,5,"Absolutely loved it, couldn't put it down!",7/11/2024
54,1132,100054,4,"Engaging plot, well-developed characters.",7/11/2024
55,1134,100055,3,"Okay storyline, nothing particularly special.",7/12/2024
56,1136,100056,5,Captivating from the first page to the last!,7/12/2024
57,1138,100057,4,"Solid story, enjoyed the writing style.",7/13/2024
58,1140,100058,3,Expected more from the plot development.,7/13/2024
59,1140,100059,5,A must-read! Couldn't recommend it enough.,7/14/2024
60,1144,100060,4,"Well-crafted story, kept me engaged.",7/14/2024
61,1146,100061,3,"Average read, didn't leave a strong impression.",7/15/2024
62,1055,100062,5,"Absolutely brilliant, exceeded expectations!",7/15/2024
63,1050,100063,4,"Interesting characters, enjoyed the journey.",7/16/2024
64,1052,100064,3,"Good concept, execution fell short.",7/16/2024
65,1054,100065,5,Masterpiece! A book that stays with you.,7/17/2024
66,1056,100066,4,"Kept me guessing, loved the suspense.",7/17/2024
67,1058,100067,3,"Not my favorite, struggled to connect with it.",7/18/2024
68,1060,100068,5,"Couldn't put it down, thrilling from start to finish!",7/18/2024
69,1062,100069,4,"Solid read, enjoyable storyline.",7/19/2024
70,1064,100070,3,"Interesting premise, execution was okay.",7/19/2024
71,1066,100071,5,"Absolutely stunning, loved every moment!",7/20/2024
72,1068,100072,4,"Well-paced, kept me engaged throughout.",7/20/2024
73,1070,100073,3,"Average book, didn't stand out.",7/21/2024
74,1072,100074,5,Incredible! A must-read for all book lovers.,7/21/2024
75,1074,100075,4,"Enjoyed the characters, interesting dynamics.",7/22/2024
76,1076,100076,3,Expected more depth from the storyline.,7/22/2024
77,1078,100077,4,"Compelling narrative, highly recommend!",7/23/2024
78,1080,100078,3,"Liked the concept, execution was lacking.",7/23/2024
79,1082,100079,5,"Couldn't put it down, captivating storyline!",7/24/2024
80,1084,100080,4,"Well-written, engaging from start to finish.",7/24/2024
81,1086,100081,3,"Interesting premise, but pacing was off.",7/25/2024
82,1088,100082,5,"Absolutely loved it, one of my favorites!",7/25/2024
83,1090,100083,4,"Enjoyable read, liked the character development.",7/26/2024
84,1092,100084,3,"Average book, didn't live up to expectations.",7/26/2024
85,1094,100085,5,"Captivating story, couldn't stop reading!",7/27/2024
86,1096,100086,4,"Kept me hooked, loved the plot twists.",7/27/2024
87,1098,100087,3,"Good storyline, but the ending was predictable.",7/28/2024
88,1117,100088,5,Outstanding! A must-read for everyone.,7/28/2024
89,1002,100089,4,"Engaging characters, well-crafted narrative.",7/29/2024
90,1004,100090,3,"Liked the setting, plot could be stronger.",7/29/2024
91,1006,100091,5,"Absolutely fantastic, couldn't put it down!",7/30/2024
92,1008,100092,4,"Enjoyed the twists, kept me guessing.",7/30/2024
93,1010,100093,3,"Average read, didn't leave a lasting impression.",7/31/2024
94,1012,100094,5,"Incredible book, emotional and captivating.",7/31/2024
95,1014,100095,4,"Well-paced, enjoyed the character development.",8/1/2024
96,1016,100096,3,Expected more depth from the storyline.,8/1/2024
97,1018,100097,5,"A book that stays with you, absolutely loved it!",8/2/2024
98,1020,100098,4,"Interesting plot, kept me engaged.",8/2/2024
99,1002,100099,3,"Okay read, lacked strong character arcs.",8/3/2024
100,1024,100100,5,"Couldn't stop reading, so gripping!",8/3/2024
101,1026,100101,4,"Well-crafted story, intriguing characters.",8/4/2024
102,1028,100102,3,"Decent read, but nothing extraordinary.",8/4/2024
103,1030,100103,5,"Absolutely loved it, highly recommend!",8/5/2024
104,1032,100104,4,"Engaging plot, well-developed characters.",8/5/2024
105,1034,100105,3,Expected more depth from the storyline.,8/6/2024
106,1036,100106,5,"Couldn't put it down, captivating from start to finish!",8/6/2024
107,1038,100107,4,"Interesting storyline, kept me hooked.",8/7/2024
108,1040,100108,3,"Liked the premise, execution was lacking.",8/7/2024
109,1042,100109,5,"Absolutely brilliant, a new favorite!",8/8/2024
110,1044,100110,4,"Well-written, enjoyed the character dynamics.",8/8/2024
111,1046,100111,3,"Average read, didn't leave a strong impression.",8/9/2024
112,1048,100112,5,"Incredible book, couldn't put it down!",8/9/2024
113,1050,100113,4,"Engaging storyline, loved the twists.",8/10/2024
114,1052,100114,3,Expected more depth from the characters.,8/10/2024
115,1054,100115,5,Masterpiece! A book that stays with you.,8/11/2024
116,1056,100116,4,"Kept me guessing, loved the suspense.",8/11/2024
117,1058,100117,3,"Not my favorite, struggled to connect with it.",8/12/2024
118,1060,100118,5,"Couldn't put it down, thrilling from start to finish!",8/12/2024
119,1062,100119,4,"Solid read, enjoyable storyline.",8/13/2024
120,1064,100120,3,"Interesting premise, execution was okay.",8/13/2024
121,1066,100121,5,"Absolutely stunning, loved every moment!",8/14/2024
122,1068,100122,4,"Well-paced, kept me engaged throughout.",8/14/2024
123,1070,100123,3,"Average book, didn't stand out.",8/15/2024
124,1072,100124,5,Incredible! A must-read for all book lovers.,8/15/2024
125,1074,100125,4,"Enjoyed the characters, interesting dynamics.",8/16/2024
126,1076,100126,3,Expected more depth from the storyline.,8/16/2024
127,1078,100127,5,"Amazing book, compelling narrative!",8/17/2024
128,1080,100128,4,"Compelling storyline, well-developed characters.",8/17/2024
129,1082,100129,3,"Interesting read, but pacing was off.",8/18/2024
130,1084,100130,5,"Couldn't put it down, captivating storyline!",8/18/2024
131,1086,100131,4,"Well-written, engaging from start to finish.",8/19/2024
132,1088,100132,3,"Interesting premise, but pacing was off.",8/19/2024
133,1090,100133,5,"Absolutely loved it, one of my favorites!",8/20/2024
134,1092,100134,4,"Enjoyable read, liked the character development.",8/20/2024
135,1094,100135,3,"Average book, didn't live up to expectations.",8/21/2024
136,1096,100136,5,"Captivating story, couldn't stop reading!",8/21/2024
137,1098,100137,4,"Kept me hooked, loved the plot twists.",8/22/2024
138,1109,100138,3,"Good storyline, but the ending was predictable.",8/22/2024
139,1002,100139,5,Outstanding! A must-read for everyone.,8/23/2024
140,1004,100140,4,"Engaging characters, well-crafted narrative.",8/23/2024
141,1006,100141,3,"Liked the setting, plot could be stronger.",8/24/2024
142,1008,100142,5,"Absolutely fantastic, couldn't put it down!",8/24/2024
143,1010,100143,4,"Enjoyed the twists, kept me guessing.",8/25/2024
144,1012,100144,3,"Average read, didn't leave a lasting impression.",8/25/2024
145,1014,100145,5,"Incredible book, emotional and captivating.",8/26/2024
146,1016,100146,4,"Well-paced, enjoyed the character development.",8/26/2024
147,1018,100147,3,Expected more depth from the storyline.,8/27/2024
148,1020,100148,5,"A book that stays with you, absolutely loved it!",8/27/2024
149,1022,100149,4,"Interesting plot, kept me engaged.",8/28/2024
150,1024,100150,3,"Okay read, lacked strong character arcs.",8/28/2024
151,1026,100151,5,"Couldn't stop reading, so gripping!",8/29/2024
152,1028,100152,4,"Well-crafted story, intriguing characters.",8/29/2024
153,1030,100153,3,"Decent read, but nothing extraordinary.",8/30/2024
154,1032,100154,5,"Absolutely loved it, highly recommend!",8/30/2024
155,1034,100155,3,Expected more depth from the storyline.,8/31/2024
156,1036,100156,5,"Couldn't put it down, captivating from start to finish!",8/31/2024
157,1038,100157,4,"Interesting storyline, kept me hooked.",9/1/2024
158,1040,100158,3,"Liked the premise, execution was lacking.",9/1/2024
159,1042,100159,5,"Absolutely brilliant, a new favorite!",9/2/2024
160,1044,100160,4,"Well-written, enjoyed the character dynamics.",9/2/2024
161,1046,100161,3,"Average read, didn't leave a strong impression.",9/3/2024
162,1048,100162,5,"Incredible book, couldn't put it down!",9/3/2024
163,1050,100163,4,"Engaging storyline, loved the twists.",9/4/2024
164,1052,100164,3,Expected more depth from the characters.,9/4/2024
165,1054,100165,5,Masterpiece! A book that stays with you.,9/5/2024
166,1056,100166,4,"Kept me guessing, loved the suspense.",9/5/2024
167,1058,100167,3,"Not my favorite, struggled to connect with it.",9/6/2024
168,1060,100168,5,"Couldn't put it down, thrilling from start to finish!",9/6/2024
169,1062,100169,4,"Solid read, enjoyable storyline.",9/7/2024
170,1064,100170,3,"Interesting premise, execution was okay.",9/7/2024
171,1066,100171,5,"Absolutely stunning, loved every moment!",9/8/2024
172,1068,100172,4,"Well-paced, kept me engaged throughout.",9/8/2024
173,1070,100173,3,"Average book, didn't stand out.",9/9/2024
174,1072,100174,5,Incredible! A must-read for all book lovers.,9/9/2024
175,1074,100175,4,"Enjoyed the characters, interesting dynamics.",9/10/2024
176,1076,100176,3,Expected more depth from the storyline.,9/10/2024
177,1078,100177,5,"Amazing book, compelling narrative!",9/11/2024
178,1080,100178,4,"Compelling storyline, well-developed characters.",9/11/2024
179,1082,100179,3,"Interesting read, but pacing was off.",9/12/2024
180,1084,100180,5,"Couldn't put it down, captivating storyline!",9/12/2024
181,1086,100181,4,"Well-written, engaging from start to finish.",9/13/2024
182,1088,100182,3,"Interesting premise, but pacing was off.",9/13/2024
183,1090,100183,5,"Absolutely loved it, one of my favorites!",9/14/2024
184,1092,100184,4,"Enjoyable read, liked the character development.",9/14/2024
185,1094,100185,3,"Average book, didn't live up to expectations.",9/15/2024
186,1096,100186,5,"Captivating story, couldn't stop reading!",9/15/2024
187,1098,100187,4,"Kept me hooked, loved the plot twists.",9/16/2024
188,1100,100188,3,"Good storyline, but the ending was predictable.",9/16/2024
189,1002,100189,5,Outstanding! A must-read for everyone.,9/17/2024
190,1004,100190,4,"Engaging characters, well-crafted narrative.",9/17/2024
191,1006,100191,3,"Liked the setting, plot could be stronger.",9/18/2024
192,1008,100192,5,"Absolutely fantastic, couldn't put it down!",9/18/2024
193,1010,100193,4,"Enjoyed the twists, kept me guessing.",9/19/2024
194,1012,100194,3,"Average read, didn't leave a lasting impression.",9/19/2024
195,1014,100195,5,"Incredible book, emotional and captivating.",9/20/2024
196,1016,100196,4,"Well-paced, enjoyed the character development.",9/20/2024
197,1018,100197,3,Expected more depth from the storyline.,9/21/2024
198,1020,100198,5,"A book that stays with you, absolutely loved it!",9/21/2024
199,1022,100199,4,"Interesting plot, kept me engaged.",9/22/2024
200,1024,100200,3,"Okay read, lacked strong character arcs.",9/22/2024
201,1026,100201,5,"Couldn't stop reading, so gripping!",9/23/2024
202,1028,100202,4,"Well-crafted story, intriguing characters.",9/23/2024
203,1030,100203,3,"Decent read, but nothing extraordinary.",9/24/2024
204,1032,100204,5,"Absolutely loved it, highly recommend!",9/24/2024
205,1034,100205,4,"Engaging plot, well-developed characters.",9/25/2024
206,1036,100206,3,Expected more depth from the storyline.,9/25/2024
207,1038,100207,5,"Couldn't put it down, captivating from start to finish!",9/26/2024
208,1040,100208,4,"Interesting storyline, kept me hooked.",9/26/2024
209,1042,100209,3,"Liked the premise, execution was lacking.",9/27/2024
210,1044,100210,5,"Absolutely brilliant, a new favorite!",9/27/2024
211,1046,100211,4,"Well-written, enjoyed the character dynamics.",9/28/2024
212,1048,100212,3,"Average read, didn't leave a strong impression.",9/28/2024
213,1050,100213,5,"Incredible book, couldn't put it down!",9/29/2024
214,1052,100214,4,"Engaging storyline, loved the twists.",9/29/2024
215,1054,100215,3,Expected more depth from the characters.,9/30/2024
216,1056,100216,5,Masterpiece! A book that stays with you.,9/30/2024
217,1058,100217,4,"Kept me guessing, loved the suspense.",10/1/2024
218,1060,100218,3,"Not my favorite, struggled to connect with it.",10/1/2024
219,1062,100219,5,"Couldn't put it down, thrilling from start to finish!",10/2/2024
220,1064,100220,4,"Solid read, enjoyable storyline.",10/2/2024
221,1066,100221,3,"Interesting premise, execution was okay.",10/3/2024
222,1068,100222,5,"Absolutely stunning, loved every moment!",10/3/2024
223,1070,100223,4,"Well-paced, kept me engaged throughout.",10/4/2024
224,1072,100224,3,"Average book, didn't stand out.",10/4/2024
225,1074,100225,5,Incredible! A must-read for all book lovers.,10/5/2024
226,1076,100226,4,"Enjoyed the characters, interesting dynamics.",10/5/2024
227,1078,100227,3,Expected more depth from the storyline.,10/6/2024
228,1080,100228,5,"Amazing book, compelling narrative!",10/6/2024
229,1082,100229,4,"Compelling storyline, well-developed characters.",10/7/2024
230,1084,100230,3,"Interesting read, but pacing was off.",10/7/2024
231,1086,100231,5,"Couldn't put it down, captivating storyline!",10/8/2024
232,1088,100232,4,"Well-written, engaging from start to finish.",10/8/2024
233,1090,100233,3,"Interesting premise, but pacing was off.",10/9/2024
234,1090,100234,5,"Absolutely loved it, one of my favorites!",10/9/2024
235,1092,100235,4,"Enjoyable read, liked the character development.",10/9/2024
236,1094,100236,3,"Average book, didn't live up to expectations.",10/10/2024
237,1096,100237,5,"Captivating story, couldn't stop reading!",10/10/2024
238,1098,100238,4,"Kept me hooked, loved the plot twists.",10/11/2024
239,1004,100239,3,"Good storyline, but the ending was predictable.",10/11/2024
240,1103,100240,5,Outstanding! A must-read for everyone.,10/12/2024
241,1004,100241,4,"Engaging characters, well-crafted narrative.",10/12/2024
242,1006,100242,3,"Liked the setting, plot could be stronger.",10/13/2024
243,1008,100243,5,"Absolutely fantastic, couldn't put it down!",10/13/2024
244,1010,100244,4,"Enjoyed the twists, kept me guessing.",10/14/2024
245,1012,100245,3,"Average read, didn't leave a lasting impression.",10/14/2024
246,1014,100246,5,"Incredible book, emotional and captivating.",10/15/2024
247,1016,100247,4,"Well-paced, enjoyed the character development.",10/15/2024
248,1018,100248,3,Expected more depth from the storyline.,10/16/2024
249,1020,100249,5,"A book that stays with you, absolutely loved it!",10/16/2024
250,1022,100250,4,"Interesting plot, kept me engaged.",10/17/2024
251,1024,100251,3,"Okay read, lacked strong character arcs.",10/17/2024
252,1026,100252,5,"Couldn't stop reading, so gripping!",10/18/2024
